Date_time,CO2_PPM,CO2_SD,H2O_PPM,H2O_SD,Tem_C
  02/17/2017 09:50:33.966,432.97,0,12912,0,23.9373
  02/17/2017 09:50:34.867,430.705,0,13286.5,0,23.9429
  02/17/2017 09:50:35.766,429.704,0,13022.9,0,23.9461
  02/17/2017 09:50:36.666,429.819,0,12994.7,0,23.9542
  02/17/2017 09:50:37.578,431.403,0,13108.8,0,23.9556
  02/17/2017 09:50:38.475,430.898,0,13021.3,0,23.9634
  02/17/2017 09:50:39.475,431.646,0,13187.1,0,23.9634
  02/17/2017 09:50:40.502,432.28,0,12980.7,0,23.968
  02/17/2017 09:50:41.534,433.907,0,12918.5,0,23.9742
  02/17/2017 09:50:42.562,435.333,0,13007.5,0,23.9771
  02/17/2017 09:50:43.586,435.269,0,12808.1,0,23.9862
  02/17/2017 09:50:44.614,429.678,0,12984.2,0,23.9898
  02/17/2017 09:50:45.639,428.877,0,12916.3,0,23.9978
  02/17/2017 09:50:47.466,430.055,0,12797.1,0,24.0205
  02/17/2017 09:50:48.370,431.466,0,12905.1,0,24.0215
  02/17/2017 09:50:49.266,431.375,0,12972.4,0,24.0308
  02/17/2017 09:50:50.166,432.688,0,13060.8,0,24.0396
  02/17/2017 09:50:51.066,431.216,0,13051.4,0,24.0456
  02/17/2017 09:50:51.966,431.559,0,13063.4,0,24.0573
  02/17/2017 09:50:52.870,430.677,0,13121.1,0,24.0623
  02/17/2017 09:50:53.775,430.943,0,13163.8,0,24.0711
  02/17/2017 09:50:54.787,431.377,0,13015.5,0,24.0721
  02/17/2017 09:50:55.815,430.851,0,13075.9,0,24.079
  02/17/2017 09:50:56.838,430.685,0,13123.5,0,24.0883
  02/17/2017 09:50:57.866,430.721,0,13125.1,0,24.093
  02/17/2017 09:50:58.890,430.732,0,13142.4,0,24.1022
  02/17/2017 09:50:59.919,432.899,0,13177.4,0,24.1049
  02/17/2017 09:51:00.950,431.434,0,13194.2,0,24.1134
  02/17/2017 09:51:02.766,430.995,0,12911.9,0,24.1403
  02/17/2017 09:51:03.666,430.738,0,12943.7,0,24.1397
  02/17/2017 09:51:04.570,432.064,0,13077.1,0,24.1471
  02/17/2017 09:51:05.466,431.152,0,12986.3,0,24.1572
  02/17/2017 09:51:06.366,429.99,0,12895.9,0,24.1615
  02/17/2017 09:51:07.267,430.775,0,13037.7,0,24.1713
  02/17/2017 09:51:08.171,430.97,0,13018.4,0,24.1742
  02/17/2017 09:51:09.078,430.301,0,12832.9,0,24.1821
  02/17/2017 09:51:10.102,432.683,0,13136.4,0,24.1879
  02/17/2017 09:51:11.134,432.061,0,13354.6,0,24.1927
  02/17/2017 09:51:12.163,433.772,0,13149.1,0,24.2021
  02/17/2017 09:51:13.194,430.354,0,13270.8,0,24.2038
